,l,u,r,s2,p,recommendation
AAPL,0.495995995995996,0.5005005005005005,0.0022947547356382625,0.00015343946002015053,0.5734851170246583,buy
MSFT,0.498998998998999,0.5025025025025025,0.00041289392923026284,0.00012771206341893413,0.5145725645781671,buy
HOG,0.498998998998999,0.5,0.0005708464221757045,0.000388196843026849,0.5115569329273251,buy
LUV,0.5,0.5025025025025025,0.0011888086143771015,0.00027747184395130923,0.5284474933168912,buy
PLAY,0.5,0.5045045045045045,-0.0029145224358374483,0.0012623637279633524,0.46731124557730186,sell
GOOGL,0.4954954954954955,0.502002002002002,0.0017137934700942065,0.00020197913959672827,0.5479914375022297,buy
NFLX,0.4944944944944945,0.5005005005005005,0.0019881345830077665,0.0003236076697510494,0.5440010513135018,buy
WMT,0.498998998998999,0.5,0.0014081867388409715,0.00013653727287912508,0.5479616902688127,buy
^GSPC,0.4964964964964965,0.501001001001001,0.0015017927516614072,5.0202351186123826e-05,0.5839297496506067,buy
QQQ,0.4944944944944945,0.5015015015015015,0.0008361441303522288,6.729379520787562e-05,0.5405930998024719,buy
GLD,0.5,0.5005005005005005,-0.00014338027570741404,5.004552638043799e-05,0.4919148680226773,sell
TSLA,0.4984984984984985,0.5,-0.0034574444304811404,0.000568025162983635,0.44232861833792253,sell
^FTSE,0.4974974974974975,0.5015015015015015,0.00023028175395706075,4.083692738425143e-05,0.5143730547498904,buy
NVDA,0.492992992992993,0.5035035035035035,0.001799834388466394,0.0003822217840502687,0.5366751403999367,buy
LLY,0.498998998998999,0.5015015015015015,0.0007867369222746564,0.00027351665238724407,0.5189707254519937,buy
JNJ,0.0,0.501001001001001,0.0003511162178741722,0.00011915629660688934,0.5128300270900459,buy
ITA,0.5,0.5005005005005005,0.0009321839798384162,0.000121214887831797,0.5337376688227645,buy
AVGO,0.5,0.5,0.0023834181682593704,0.0005615320271071292,0.5400581870346481,buy
