,l,u,r,s2,p,recommendation
AAPL,0.495995995995996,0.504004004004004,0.001965340606483029,0.00015542360822637632,0.5626316049723075,buy
MSFT,0.497997997997998,0.5025025025025025,0.0002653027946959048,0.00013030386121192723,0.5092711616009135,buy
HOG,0.498998998998999,0.5005005005005005,0.0004343282330262462,0.00039900074935375195,0.5086737530084265,buy
LUV,0.5,0.5025025025025025,0.001326480895297028,0.00027423344585424304,0.5319217454024123,buy
PLAY,0.5,0.504004004004004,-0.0025147475068905633,0.0012933153994103628,0.472126056649134,sell
GOOGL,0.495995995995996,0.5015015015015015,0.0015557912695807468,0.00019642011034545556,0.5441954117145313,buy
NFLX,0.4964964964964965,0.505005005005005,0.002623656327657892,0.0003125949821960775,0.5589840290714868,buy
WMT,0.496996996996997,0.5,0.0014327269557793969,0.0001369422579274229,0.5487215232195083,buy
^GSPC,0.4994994994994995,0.501001001001001,0.0013737500910637446,4.987809336304868e-05,0.5771136241299156,buy
QQQ,0.492992992992993,0.5015015015015015,0.0006505092816685525,6.060778361060551e-05,0.5332961657511611,buy
GLD,0.5,0.501001001001001,-0.0001427422867131242,4.773304177041218e-05,0.49175819634555445,sell
TSLA,0.5,0.5,-0.003624771266247542,0.0005964277150733497,0.4410044083983932,sell
^FTSE,0.4974974974974975,0.5015015015015015,0.00024643350375137064,4.084238680104815e-05,0.5153796568007871,buy
NVDA,0.4904904904904905,0.503003003003003,0.0015730640030693114,0.00038218809066737226,0.5320663431757438,buy
LLY,0.4954954954954955,0.502002002002002,0.0005739987789852825,0.00026781891863874614,0.5139897956168592,buy
JNJ,0.0,0.501001001001001,0.000353960964909925,0.0001146354564175477,0.5131864183776778,buy
ITA,0.498998998998999,0.5025025025025025,0.00045441691989752097,0.0001359818806396884,0.5155422586816879,buy
AVGO,0.4984984984984985,0.5,-3.879284929411833e-06,0.0005525912617462816,0.49993416456088924,
